Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Nigeria,Potiskum,85,Moderate,3,Good,20,Good,1,Good,85,Moderate,11.7104,11.08
Brazil,Prata,32,Good,0,Good,14,Good,0,Good,32,Good,-19.3069,-48.9239
Slovenia,Ptuj,75,Moderate,1,Good,44,Good,2,Good,75,Moderate,46.4194,15.8694
India,Pune,98,Moderate,0,Good,24,Good,0,Good,98,Moderate,18.5203,73.8567
Costa Rica,Purral,78,Moderate,2,Good,4,Good,13,Good,78,Moderate,9.9594,-84.0165
Kazakhstan,Qostanay,46,Good,1,Good,37,Good,0,Good,46,Good,53.2,63.62
Germany,Quickborn,33,Good,0,Good,33,Good,1,Good,31,Good,53.7333,9.8972
Germany,Quierschied,52,Moderate,1,Good,29,Good,3,Good,52,Moderate,49.3167,7.05
China,Qujing,46,Good,1,Good,23,Good,2,Good,46,Good,25.5102,103.8029
China,Quzhou,131,Unhealthy for Sensitive Groups,3,Good,131,Unhealthy for Sensitive Groups,1,Good,81,Moderate,28.9545,118.8763
United States of America,Fort Payne,69,Moderate,1,Good,43,Good,3,Good,69,Moderate,34.4559,-85.6965
United States of America,Fostoria,43,Good,1,Good,37,Good,3,Good,43,Good,41.16,-83.4121
United States of America,Fruitville,47,Good,1,Good,22,Good,12,Good,47,Good,27.3328,-82.4616
United States of America,Gantt,71,Moderate,2,Good,28,Good,10,Good,71,Moderate,34.7837,-82.4027
Germany,Gladbeck,27,Good,0,Good,27,Good,2,Good,26,Good,51.5667,6.9667
Italy,Gragnano,60,Moderate,1,Good,60,Moderate,2,Good,43,Good,40.6957,14.5154
,Great Yarmouth,30,Good,0,Good,30,Good,3,Good,21,Good,52.606,1.729
United States of America,Greensboro,60,Moderate,2,Good,22,Good,9,Good,60,Moderate,36.0956,-79.8271
Italy,Grumo Appula,48,Good,1,Good,48,Good,1,Good,40,Good,41.0167,16.7
Zimbabwe,Gweru,45,Good,0,Good,17,Good,0,Good,45,Good,-19.4614,29.8022
India,Harrai,155,Unhealthy,1,Good,34,Good,0,Good,155,Unhealthy,22.6143,79.2221
Netherlands,Heemskerk,37,Good,0,Good,37,Good,0,Good,30,Good,52.5167,4.6667
Netherlands,Heerenveen,36,Good,0,Good,36,Good,1,Good,33,Good,52.95,5.9333
Germany,Hemer,35,Good,0,Good,24,Good,3,Good,35,Good,51.3833,7.7667
India,Hilsa,189,Unhealthy,2,Good,96,Moderate,1,Good,189,Unhealthy,25.32,85.28
China,Huzhou,154,Unhealthy,5,Good,154,Unhealthy,8,Good,144,Unhealthy for Sensitive Groups,30.8925,120.0875
Russian Federation,Inta,25,Good,1,Good,25,Good,0,Good,13,Good,66.0833,60.1333
Philippines,Ipil,157,Unhealthy,1,Good,15,Good,0,Good,157,Unhealthy,7.7822,122.5867
Jordan,Irbid,85,Moderate,1,Good,46,Good,3,Good,85,Moderate,32.55,35.85
Brazil,Itamaraju,16,Good,0,Good,11,Good,1,Good,16,Good,-17.0389,-39.5308
,Itaparica,22,Good,0,Good,18,Good,1,Good,22,Good,-12.8878,-38.6789
Brazil,Itapira,82,Moderate,2,Good,4,Good,7,Good,82,Moderate,-22.4361,-46.8217
Brazil,Itu,156,Unhealthy,4,Good,3,Good,11,Good,156,Unhealthy,-23.2642,-47.2992
United States of America,Jacksonville,57,Moderate,1,Good,18,Good,10,Good,57,Moderate,30.3322,-81.6749
United States of America,Jacksonville,57,Moderate,1,Good,18,Good,10,Good,57,Moderate,34.7289,-77.3941
United States of America,Jacksonville,57,Moderate,1,Good,18,Good,10,Good,57,Moderate,34.8807,-92.1304
United States of America,Jacksonville,57,Moderate,1,Good,18,Good,10,Good,57,Moderate,39.7292,-90.2317
United States of America,Jacksonville,57,Moderate,1,Good,18,Good,10,Good,57,Moderate,31.9642,-95.2617
United States of America,Jacksonville,57,Moderate,1,Good,18,Good,10,Good,57,Moderate,33.8088,-85.7545
India,Jagraon,175,Unhealthy,4,Good,114,Unhealthy for Sensitive Groups,9,Good,175,Unhealthy,30.78,75.48
United States of America,Janesville,61,Moderate,2,Good,21,Good,8,Good,61,Moderate,42.6854,-89.0135
United States of America,Jenison,79,Moderate,3,Good,7,Good,19,Good,79,Moderate,42.9063,-85.8269
China,Jiayuguan,174,Unhealthy,1,Good,49,Good,0,Good,174,Unhealthy,39.8112,98.2862
Brazil,Juatuba,152,Unhealthy,6,Good,0,Good,7,Good,152,Unhealthy,-19.9519,-44.3428
Japan,Kakegawa,63,Moderate,1,Good,63,Moderate,0,Good,34,Good,34.7687,137.9984
Brazil,Dourados,13,Good,1,Good,13,Good,0,Good,12,Good,-22.2208,-54.8058
Russian Federation,Dubna,29,Good,1,Good,29,Good,1,Good,22,Good,56.7333,37.1667
India,Dumraon,219,Very Unhealthy,1,Good,93,Moderate,1,Good,219,Very Unhealthy,25.5526,84.1515
Russian Federation,Dzerzhinsk,54,Moderate,1,Good,30,Good,3,Good,54,Moderate,56.2333,43.45
Germany,Eggenfelden,53,Moderate,1,Good,29,Good,3,Good,53,Moderate,48.4039,12.7642
United States of America,El Sobrante,59,Moderate,1,Good,24,Good,16,Good,59,Moderate,33.8724,-117.4624
United States of America,Elmwood Park,93,Moderate,3,Good,5,Good,30,Good,93,Moderate,41.9225,-87.8163
United States of America,Elmwood Park,93,Moderate,3,Good,5,Good,30,Good,93,Moderate,40.9049,-74.1201
Germany,Engen,46,Good,1,Good,25,Good,2,Good,46,Good,47.8528,8.7714
Germany,Ennepetal,29,Good,0,Good,26,Good,2,Good,29,Good,51.2833,7.3333
Brazil,Entre Rios,21,Good,0,Good,15,Good,1,Good,21,Good,-11.9419,-38.0839
Germany,Espelkamp,30,Good,0,Good,30,Good,1,Good,26,Good,52.3772,8.6328
,Eureka,31,Good,1,Good,31,Good,1,Good,26,Good,40.7943,-124.1564
,Eureka,31,Good,1,Good,31,Good,1,Good,26,Good,38.5004,-90.6491
United States of America,Fairhope,60,Moderate,1,Good,24,Good,4,Good,60,Moderate,30.5209,-87.8813
Sweden,Falun,28,Good,1,Good,28,Good,0,Good,13,Good,60.6072,15.6311
China,Fengcheng,101,Unhealthy for Sensitive Groups,3,Good,101,Unhealthy for Sensitive Groups,1,Good,92,Moderate,40.4543,124.0646
China,Fengcheng,101,Unhealthy for Sensitive Groups,3,Good,101,Unhealthy for Sensitive Groups,1,Good,92,Moderate,37.4313,112.027
Russian Federation,Mariinskiy Posad,50,Good,1,Good,32,Good,1,Good,50,Good,56.1,47.7167
Papua New Guinea,Mendi,11,Good,0,Good,11,Good,0,Good,5,Good,-6.1478,143.6572
Germany,Mettmann,45,Good,1,Good,28,Good,3,Good,45,Good,51.25,6.9667
Germany,Metzingen,67,Moderate,1,Good,27,Good,3,Good,67,Moderate,48.5367,9.2858
Madagascar,Miandrivazo,65,Moderate,2,Good,18,Good,0,Good,65,Moderate,-19.5239,45.4573
Portugal,Mirandela,26,Good,1,Good,26,Good,1,Good,15,Good,41.4853,-7.1817
Mexico,Misantla,105,Unhealthy for Sensitive Groups,3,Good,17,Good,8,Good,105,Unhealthy for Sensitive Groups,19.9333,-96.85
Austria,Mistelbach,68,Moderate,1,Good,38,Good,2,Good,68,Moderate,48.5667,16.5667
Japan,Mobara,65,Moderate,1,Good,65,Moderate,2,Good,45,Good,35.4285,140.2881
Mexico,Monclova,64,Moderate,1,Good,22,Good,1,Good,64,Moderate,26.9103,-101.4222
United States of America,Mooresville,40,Good,1,Good,40,Good,4,Good,33,Good,35.5847,-80.8266
United States of America,Mooresville,40,Good,1,Good,40,Good,4,Good,33,Good,39.6022,-86.3681
Sweden,Motala,28,Good,0,Good,28,Good,0,Good,17,Good,58.5333,15.0333
United States of America,Mount Prospect,62,Moderate,2,Good,24,Good,18,Good,62,Moderate,42.0641,-87.9375
Russian Federation,Mtsensk,33,Good,1,Good,33,Good,1,Good,20,Good,53.2833,36.5667
Myanmar,Mudon,50,Good,0,Good,21,Good,0,Good,50,Good,16.2578,97.7164
Japan,Muroran,35,Good,1,Good,35,Good,1,Good,27,Good,42.3152,140.974
India,Naini Tal,123,Unhealthy for Sensitive Groups,2,Good,116,Unhealthy for Sensitive Groups,0,Good,123,Unhealthy for Sensitive Groups,29.3919,79.4542
Thailand,Nakhon Nayok,59,Moderate,1,Good,30,Good,1,Good,59,Moderate,14.2069,101.2142
Japan,Kimitsu,57,Moderate,1,Good,57,Moderate,3,Good,47,Good,35.3304,139.9027
Guinea,Kissidougou,25,Good,1,Good,16,Good,0,Good,25,Good,9.1905,-10.12
Russian Federation,Konstantinovsk,38,Good,1,Good,38,Good,0,Good,14,Good,47.5667,41.0833
India,Korba,186,Unhealthy,1,Good,94,Moderate,2,Good,186,Unhealthy,22.35,82.68
India,Korba,186,Unhealthy,1,Good,94,Moderate,2,Good,186,Unhealthy,36.5667,10.8667
Thailand,Krabi,65,Moderate,1,Good,28,Good,0,Good,65,Moderate,8.0592,98.9189
Sweden,Kristianstad,38,Good,0,Good,38,Good,0,Good,27,Good,56.0337,14.1333
Cameroon,Kumbo,79,Moderate,4,Good,11,Good,1,Good,79,Moderate,6.2,10.66
Japan,Kunitachi,49,Good,1,Good,49,Good,3,Good,43,Good,35.6839,139.4414
Russian Federation,Kushva,58,Moderate,1,Good,30,Good,0,Good,58,Moderate,58.2833,59.7333
Finland,Kuusankoski,29,Good,0,Good,29,Good,1,Good,5,Good,60.9083,26.6236
,Lagos,172,Unhealthy,7,Good,17,Good,9,Good,172,Unhealthy,6.455,3.3841
,Lagos,172,Unhealthy,7,Good,17,Good,9,Good,172,Unhealthy,37.1028,-8.6728
United States of America,Lake Forest Park,52,Moderate,2,Good,23,Good,12,Good,52,Moderate,47.7574,-122.2864
Peru,Lambayeque,45,Good,0,Good,23,Good,0,Good,45,Good,-6.7,-79.9
Germany,Lebach,52,Moderate,1,Good,30,Good,3,Good,52,Moderate,49.41,6.91
France,Les Mureaux,59,Moderate,1,Good,21,Good,5,Good,59,Moderate,48.9875,1.9172
United States of America,Lexington Park,39,Good,1,Good,39,Good,1,Good,30,Good,38.2528,-76.4424
China,Lianyuan,113,Unhealthy for Sensitive Groups,3,Good,91,Moderate,6,Good,113,Unhealthy for Sensitive Groups,27.6961,111.6659
Switzerland,Liestal,93,Moderate,1,Good,26,Good,3,Good,93,Moderate,47.4667,7.7333
Chile,Limache,164,Unhealthy,7,Good,3,Good,19,Good,164,Unhealthy,-33.0167,-71.2667
Paraguay,Limpio,96,Moderate,2,Good,4,Good,4,Good,96,Moderate,-25.1683,-57.4942
Germany,Lingen,36,Good,0,Good,34,Good,1,Good,36,Good,52.5231,7.3231
Russian Federation,Livny,32,Good,1,Good,32,Good,1,Good,18,Good,52.4239,37.5997
Italy,Locorotondo,49,Good,1,Good,49,Good,3,Good,27,Good,40.7558,17.3264
India,Loni,249,Very Unhealthy,3,Good,141,Unhealthy for Sensitive Groups,4,Good,249,Very Unhealthy,28.75,77.28
Philippines,Los Banos,52,Moderate,1,Good,24,Good,1,Good,52,Moderate,37.063,-120.8406
South Africa,Lydenburg,46,Good,1,Good,18,Good,1,Good,46,Good,-25.096,30.446
United States of America,Lynn Haven,40,Good,1,Good,27,Good,2,Good,40,Good,30.2337,-85.637
Italy,Maglie,57,Moderate,1,Good,57,Moderate,1,Good,13,Good,40.1167,18.1333
Sierra Leone,Makeni,40,Good,1,Good,16,Good,0,Good,40,Good,8.8817,-12.0442
Japan,Makubetsu,37,Good,1,Good,37,Good,0,Good,35,Good,42.9085,143.3561
Togo,Mango,40,Good,1,Good,13,Good,1,Good,40,Good,27.9914,-82.307
India,Manoharpur,177,Unhealthy,1,Good,71,Moderate,0,Good,177,Unhealthy,22.3746,85.1923
Indonesia,Manokwari,10,Good,0,Good,10,Good,0,Good,10,Good,-0.8667,134.0833
Venezuela (Bolivarian Republic of),Maracay,105,Unhealthy for Sensitive Groups,2,Good,9,Good,14,Good,105,Unhealthy for Sensitive Groups,10.2469,-67.5958
Spain,Marbella,35,Good,1,Good,26,Good,4,Good,35,Good,36.5167,-4.8833
India,Narasannapeta,150,Unhealthy,2,Good,28,Good,4,Good,150,Unhealthy,18.4151,84.0447
India,Narasapur,118,Unhealthy for Sensitive Groups,1,Good,22,Good,2,Good,118,Unhealthy for Sensitive Groups,16.4361,81.7016
United Kingdom of Great Britain and Northern Ireland,Neath,45,Good,1,Good,21,Good,4,Good,45,Good,51.66,-3.81
Germany,Neuruppin,34,Good,0,Good,33,Good,1,Good,34,Good,52.9331,12.8
Belgium,Nevele,41,Good,1,Good,30,Good,3,Good,41,Good,51.0333,3.55
France,Nice,54,Moderate,1,Good,43,Good,2,Good,54,Moderate,43.7034,7.2663
Nigeria,Nnewi,154,Unhealthy,7,Good,16,Good,7,Good,154,Unhealthy,6.0167,6.9167
Germany,Norderstedt,33,Good,0,Good,33,Good,1,Good,31,Good,53.7064,10.0103
Bulgaria,Nova Zagora,41,Good,1,Good,41,Good,1,Good,36,Good,42.4911,26.0144
Brazil,Novo Hamburgo,91,Moderate,2,Good,6,Good,10,Good,91,Moderate,-29.6778,-51.1308
Guatemala,Nuevo San Carlos,111,Unhealthy for Sensitive Groups,3,Good,13,Good,11,Good,111,Unhealthy for Sensitive Groups,14.6,-91.7
Switzerland,Nyon,63,Moderate,1,Good,29,Good,1,Good,63,Moderate,46.3833,6.2333
Mexico,Ocoyoacac,160,Unhealthy,4,Good,8,Good,15,Good,160,Unhealthy,19.2739,-99.4606
Germany,Odenthal,47,Good,1,Good,25,Good,4,Good,47,Good,51.0333,7.1167
United States of America,Olean,40,Good,1,Good,40,Good,1,Good,33,Good,42.0819,-78.4321
United States of America,Jeannette,44,Good,1,Good,44,Good,3,Good,36,Good,40.3277,-79.6139
China,Jinan,210,Very Unhealthy,7,Good,210,Very Unhealthy,8,Good,168,Unhealthy,36.6667,116.9833
Nicaragua,Jinotega,21,Good,1,Good,16,Good,1,Good,21,Good,13.0908,-86.0006
Czechia,Jirkov,56,Moderate,1,Good,32,Good,4,Good,56,Moderate,50.4999,13.4478
Cuba,Jobabo,82,Moderate,2,Good,11,Good,8,Good,82,Moderate,20.9078,-77.2831
Nepal,Jogbani,68,Moderate,2,Good,47,Good,0,Good,68,Moderate,26.4024,87.2656
Finland,Joutseno,28,Good,1,Good,28,Good,1,Good,7,Good,61.123,28.5015
United States of America,Junction City,85,Moderate,1,Good,28,Good,4,Good,85,Moderate,39.0277,-96.8508
Mexico,Juventino Rosas,59,Moderate,1,Good,8,Good,6,Good,59,Moderate,20.65,-101.0
France,Ollioules,61,Moderate,1,Good,26,Good,6,Good,61,Moderate,43.1394,5.8469
Germany,Oranienburg,36,Good,1,Good,26,Good,2,Good,36,Good,52.7544,13.2369
United States of America,Oroville,54,Moderate,2,Good,29,Good,9,Good,54,Moderate,39.4999,-121.5634
France,Orvault,38,Good,1,Good,25,Good,2,Good,38,Good,47.2717,-1.6225
France,Oullins,31,Good,1,Good,26,Good,2,Good,31,Good,45.715,4.8083
United States of America,Ozark,78,Moderate,2,Good,9,Good,10,Good,78,Moderate,37.0365,-93.2158
United States of America,Ozark,78,Moderate,2,Good,9,Good,10,Good,78,Moderate,31.4508,-85.6473
United States of America,Palmetto,43,Good,1,Good,32,Good,9,Good,43,Good,27.5251,-82.5749
Colombia,Pradera,50,Good,1,Good,8,Good,3,Good,50,Good,3.4167,-76.1667
Bosnia and Herzegovina,Prijedor,59,Moderate,1,Good,39,Good,0,Good,59,Moderate,44.9667,16.7
,Procida,57,Moderate,1,Good,57,Moderate,1,Good,39,Good,40.7667,14.0333
United States of America,Provo,12,Good,0,Good,8,Good,12,Good,7,Good,40.2457,-111.6457
Ukraine,Pryluky,60,Moderate,1,Good,35,Good,0,Good,60,Moderate,50.6,32.4
Russian Federation,Pskov,34,Good,1,Good,34,Good,0,Good,15,Good,57.8167,28.3333
China,Qiqihar,81,Moderate,2,Good,75,Moderate,1,Good,81,Moderate,47.3398,123.9512
Morocco,Rabat,83,Moderate,3,Good,23,Good,15,Good,83,Moderate,34.0209,-6.8416
Morocco,Rabat,83,Moderate,3,Good,23,Good,15,Good,83,Moderate,35.8817,14.3989
Italy,Racconigi,73,Moderate,2,Good,14,Good,7,Good,73,Moderate,44.7667,7.6833
Sri Lanka,Ratnapura,66,Moderate,1,Good,21,Good,1,Good,66,Moderate,6.6806,80.4022
Bulgaria,Razgrad,35,Good,1,Good,35,Good,1,Good,23,Good,43.5333,26.5167
Brazil,Recife,42,Good,0,Good,23,Good,1,Good,42,Good,-8.05,-34.9
United Kingdom of Great Britain and Northern Ireland,Redditch,48,Good,1,Good,6,Good,9,Good,48,Good,52.3,-1.9333
Italy,Rivoli,70,Moderate,2,Good,11,Good,9,Good,70,Moderate,45.0697,7.5177
France,Rixheim,46,Good,1,Good,23,Good,2,Good,46,Good,47.7486,7.4044
Italy,Roncade,52,Moderate,1,Good,45,Good,2,Good,52,Moderate,45.6246,12.3766
Denmark,Roskilde,36,Good,0,Good,33,Good,0,Good,36,Good,55.65,12.0833
Netherlands,Rotterdam,35,Good,0,Good,35,Good,1,Good,27,Good,51.9167,4.5
Netherlands,Rotterdam,35,Good,0,Good,35,Good,1,Good,27,Good,42.8133,-74.0129
South Africa,Rustenburg,248,Very Unhealthy,17,Good,1,Good,15,Good,248,Very Unhealthy,-25.6667,27.2428
Russian Federation,Ryazhsk,43,Good,1,Good,32,Good,1,Good,43,Good,53.7,40.05
Colombia,Sabaneta,92,Moderate,3,Good,2,Good,8,Good,92,Moderate,6.15,-75.6
Colombia,Sabaneta,92,Moderate,3,Good,2,Good,8,Good,92,Moderate,19.4833,-71.35
Colombia,Sabaneta,92,Moderate,3,Good,2,Good,8,Good,92,Moderate,8.7522,-69.9325
United States of America,Saco,49,Good,1,Good,49,Good,2,Good,34,Good,43.539,-70.4624
India,Saharsa,176,Unhealthy,4,Good,109,Unhealthy for Sensitive Groups,2,Good,176,Unhealthy,25.88,86.6
Japan,Sakado,51,Moderate,1,Good,51,Moderate,0,Good,19,Good,35.9573,139.403
Japan,Sakura,65,Moderate,1,Good,65,Moderate,1,Good,30,Good,35.7167,140.2167
Japan,Sakura,65,Moderate,1,Good,65,Moderate,1,Good,30,Good,36.6853,139.9664
Romania,Salonta,74,Moderate,1,Good,25,Good,3,Good,74,Moderate,46.8,21.65
Pakistan,Sambrial,175,Unhealthy,3,Good,175,Unhealthy,1,Good,153,Unhealthy,32.475,74.3522
United States of America,San Bruno,66,Moderate,1,Good,29,Good,11,Good,66,Moderate,37.6256,-122.4313
Italy,San Giustino,39,Good,1,Good,39,Good,2,Good,37,Good,43.55,12.1833
Spain,San Javier,51,Moderate,1,Good,30,Good,3,Good,51,Moderate,37.8037,-0.8343
Spain,San Javier,51,Moderate,1,Good,30,Good,3,Good,51,Moderate,-35.5924,-71.7353
Spain,San Javier,51,Moderate,1,Good,30,Good,3,Good,51,Moderate,-30.5833,-59.95
Spain,San Javier,51,Moderate,1,Good,30,Good,3,Good,51,Moderate,-16.2748,-62.5072
China,Sanming,75,Moderate,2,Good,62,Moderate,2,Good,75,Moderate,26.2658,117.6302
Philippines,Santa Catalina,78,Moderate,1,Good,16,Good,0,Good,78,Moderate,9.3331,122.8658
Philippines,Santa Catalina,78,Moderate,1,Good,16,Good,0,Good,78,Moderate,17.5917,120.3644
Philippines,Santa Catalina,78,Moderate,1,Good,16,Good,0,Good,78,Moderate,10.6039,-75.2878
United States of America,Santa Clarita,81,Moderate,2,Good,30,Good,18,Good,81,Moderate,34.4175,-118.4964
United States of America,Santa Paula,52,Moderate,2,Good,49,Good,7,Good,52,Moderate,34.3545,-119.0656
Bosnia and Herzegovina,Sarajevo,68,Moderate,1,Good,31,Good,0,Good,68,Moderate,43.8564,18.4131
United States of America,Paramount,90,Moderate,2,Good,6,Good,36,Good,90,Moderate,33.8977,-118.1651
United States of America,Parkland,51,Moderate,1,Good,13,Good,12,Good,51,Moderate,47.1417,-122.4376
United States of America,Parkland,51,Moderate,1,Good,13,Good,12,Good,51,Moderate,26.3219,-80.2533
Italy,Parma,86,Moderate,2,Good,34,Good,5,Good,86,Moderate,44.8015,10.328
Italy,Parma,86,Moderate,2,Good,34,Good,5,Good,86,Moderate,41.3843,-81.7286
Italy,Parma,86,Moderate,2,Good,34,Good,5,Good,86,Moderate,65.923,57.403
Italy,Parma,86,Moderate,2,Good,34,Good,5,Good,86,Moderate,43.2651,-77.7968
Italy,Perugia,44,Good,1,Good,44,Good,2,Good,40,Good,43.1122,12.3889
Hungary,Pilis,63,Moderate,1,Good,31,Good,2,Good,63,Moderate,47.2844,19.5435
Brazil,Pindorama,28,Good,1,Good,12,Good,1,Good,28,Good,-21.1858,-48.9069
United States of America,Piney Green,49,Good,1,Good,31,Good,7,Good,49,Good,34.7498,-77.3208
Italy,Pistoia,37,Good,1,Good,37,Good,2,Good,24,Good,43.9333,10.9167
United States of America,Pleasant Grove,20,Good,1,Good,15,Good,10,Good,20,Good,40.3716,-111.7412
United States of America,Pleasant Grove,20,Good,1,Good,15,Good,10,Good,20,Good,33.494,-86.9782
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,50.3714,-4.1422
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,45.0225,-93.4617
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,41.8783,-70.6309
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,40.1115,-75.2976
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,41.6642,-73.0263
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,41.3483,-86.3187
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,42.3718,-83.468
United States of America,Plymouth,53,Moderate,1,Good,30,Good,7,Good,53,Moderate,43.7447,-87.966
Trinidad and Tobago,Point Fortin,93,Moderate,1,Good,22,Good,2,Good,93,Moderate,10.1667,-61.6667
India,Polasara,156,Unhealthy,1,Good,65,Moderate,0,Good,156,Unhealthy,19.7815,84.5836
Poland,Police,32,Good,1,Good,27,Good,2,Good,32,Good,53.5333,14.5667
India,Ponda,81,Moderate,0,Good,21,Good,0,Good,81,Moderate,15.4034,74.0152
Brazil,Pontalina,51,Moderate,1,Good,1,Good,4,Good,51,Moderate,-17.5258,-49.4489
Portugal,Portalegre,24,Good,1,Good,24,Good,2,Good,18,Good,39.3167,-7.4167
Italy,Potenza Picena,48,Good,1,Good,48,Good,2,Good,45,Good,43.3667,13.6167
United States of America,South Holland,73,Moderate,2,Good,17,Good,17,Good,73,Moderate,41.5977,-87.6022
United Kingdom of Great Britain and Northern Ireland,Southampton,39,Good,1,Good,15,Good,11,Good,39,Good,50.9025,-1.4042
United Kingdom of Great Britain and Northern Ireland,Southampton,39,Good,1,Good,15,Good,11,Good,39,Good,40.8997,-72.4931
United Kingdom of Great Britain and Northern Ireland,Southampton,39,Good,1,Good,15,Good,11,Good,39,Good,39.9137,-74.7171
Belarus,Stolin,35,Good,1,Good,35,Good,0,Good,29,Good,51.8833,26.85
United States of America,Stoneham,47,Good,1,Good,39,Good,4,Good,47,Good,42.4741,-71.0972
Italy,Stradella,56,Moderate,1,Good,37,Good,3,Good,56,Moderate,45.0833,9.3
Canada,Strathmore,37,Good,1,Good,15,Good,5,Good,37,Good,51.0378,-113.4003
Poland,Strzelin,43,Good,1,Good,20,Good,3,Good,43,Good,50.7833,17.0667
Peru,Satipo,35,Good,1,Good,3,Good,0,Good,35,Good,-11.2542,-74.6367
France,Saumur,30,Good,1,Good,27,Good,1,Good,30,Good,47.26,-0.0769
Italy,Saviano,53,Moderate,1,Good,53,Moderate,1,Good,37,Good,40.9167,14.5167
Belgium,Schilde,36,Good,0,Good,27,Good,3,Good,36,Good,51.2333,4.5667
Germany,Schlitz,32,Good,0,Good,28,Good,1,Good,32,Good,50.6667,9.5667
Germany,Schrobenhausen,51,Moderate,1,Good,27,Good,3,Good,51,Moderate,48.5333,11.2667
United States of America,Seekonk,41,Good,1,Good,34,Good,4,Good,41,Good,41.8379,-71.3174
Italy,Sezze,48,Good,1,Good,48,Good,1,Good,33,Good,41.5,13.0667
Canada,Shawinigan,34,Good,1,Good,32,Good,2,Good,34,Good,46.5667,-72.75
Russian Federation,Shebekino,57,Moderate,1,Good,30,Good,2,Good,57,Moderate,50.4167,36.9
United States of America,Shoreline,55,Moderate,2,Good,25,Good,11,Good,55,Moderate,47.7564,-122.3426
Central African Republic,Sibut,53,Moderate,2,Good,1,Good,0,Good,53,Moderate,5.7333,19.0833
India,Silchar,56,Moderate,3,Good,35,Good,1,Good,56,Moderate,24.82,92.8
India,Sindgi,114,Unhealthy for Sensitive Groups,0,Good,27,Good,0,Good,114,Unhealthy for Sensitive Groups,16.92,76.234
Indonesia,Singkawang,61,Moderate,1,Good,14,Good,0,Good,61,Moderate,0.9,108.9833
Croatia,Solin,56,Moderate,1,Good,56,Moderate,0,Good,28,Good,43.5317,16.4947
Germany,Sonthofen,23,Good,1,Good,23,Good,3,Good,20,Good,47.5158,10.2811
United States of America,South Bend,55,Moderate,2,Good,19,Good,12,Good,55,Moderate,41.6767,-86.2696
Sweden,Staffanstorp,36,Good,1,Good,36,Good,1,Good,29,Good,55.6333,13.2
Germany,Steinfurt,31,Good,0,Good,26,Good,3,Good,31,Good,52.1475,7.3442
Norway,Steinkjer,26,Good,1,Good,26,Good,0,Good,12,Good,64.0148,11.4954
Germany,Straelen,27,Good,0,Good,27,Good,2,Good,26,Good,51.45,6.2667
United States of America,Sun Valley,39,Good,1,Good,18,Good,8,Good,39,Good,39.6104,-119.777
United States of America,National City,46,Good,1,Good,36,Good,5,Good,46,Good,32.6654,-117.0983
Spain,Navalcarnero,42,Good,1,Good,42,Good,0,Good,10,Good,40.2847,-4.0136
Italy,Nembro,91,Moderate,1,Good,48,Good,0,Good,91,Moderate,45.7439,9.7594
Germany,Neuhof,57,Moderate,1,Good,51,Moderate,0,Good,57,Moderate,50.4333,9.6167
Germany,Nideggen,54,Moderate,1,Good,47,Good,0,Good,54,Moderate,50.7,6.4833
Japan,Nishihara,59,Moderate,2,Good,18,Good,22,Good,59,Moderate,26.2228,127.7589
Japan,Noboribetsu,38,Good,1,Good,27,Good,4,Good,38,Good,42.4128,141.1066
India,Nokha,256,Very Unhealthy,1,Good,33,Good,2,Good,256,Very Unhealthy,27.6,73.42
India,Nokha,256,Very Unhealthy,1,Good,33,Good,2,Good,256,Very Unhealthy,25.1015,84.1228
Germany,Nordenham,37,Good,0,Good,37,Good,0,Good,29,Good,53.5,8.4667
United States of America,Norridge,62,Moderate,1,Good,27,Good,6,Good,62,Moderate,41.9637,-87.8231
United States of America,North Augusta,49,Good,1,Good,49,Good,1,Good,24,Good,33.5214,-81.9547
United States of America,North Laurel,52,Moderate,1,Good,52,Moderate,1,Good,39,Good,39.1285,-76.8476
United States of America,North Ogden,52,Moderate,1,Good,20,Good,6,Good,52,Moderate,41.3123,-111.9584
United States of America,North Potomac,50,Good,1,Good,50,Good,1,Good,37,Good,39.0955,-77.2373
United States of America,North Reading,40,Good,1,Good,35,Good,2,Good,40,Good,42.5816,-71.0876
Russian Federation,Novoulyanovsk,39,Good,1,Good,39,Good,1,Good,33,Good,54.1667,48.3833
Nigeria,Nsukka,68,Moderate,2,Good,39,Good,0,Good,68,Moderate,6.8567,7.3958
United States of America,Oak Grove,70,Moderate,2,Good,24,Good,6,Good,70,Moderate,45.4156,-122.6349
United States of America,Oak Grove,70,Moderate,2,Good,24,Good,6,Good,70,Moderate,33.978,-81.1468
